title,company,location,salary_min,salary_max,contract_time,description,url,avg_salary,is_senior,is_junior,location_code
senior software testing data analyst,EBI Management Group,"Washington, Washington, D.C.",103530.02,103530.02,,Job Description Job Description EBI Management Group (EBI) is a Service-Disabled Veteran Owned Small,https://www.adzuna.com/land/ad/5106745460?se=JHPxU_gV8BGckdAhCbaCew&utm_medium=api&utm_source=35e20e56&v=37C5E585D6987DEC268ADDFC545FC9BC2E950DEA,103530.02,1,0,40
junior level business/data analyst,Asta CRS Inc.,"Reston, Fairfax County",37078.83,37078.83,,Job Description Job Description We are seeking entry level Business & Data Analyst's with 6 months t,https://www.adzuna.com/land/ad/5106685555?se=JHPxU_gV8BGckdAhCbaCew&utm_medium=api&utm_source=35e20e56&v=27518D2A5E6C7172DBA2E6338D762B115DAC091C,37078.83,0,1,30
senior research data analyst,Purdue University,"Lafayette, Tippecanoe County",78575.73,78575.73,,"Purdue University seeks to hire a Senior Research Data Analyst for its West Lafayette campus, in Tip",https://www.adzuna.com/land/ad/5137035541?se=JHPxU_gV8BGckdAhCbaCew&utm_medium=api&utm_source=35e20e56&v=C032F56BDEA31BE8648235BAD62CA360A9D0B1C1,78575.73,1,0,18
digital services data analyst,Texas Service Life Insurance,"Lakeway, Travis County",75520.88,75520.88,,"Texas Service Life Insurance seeks in Lakeway, TX a Digital Services Data Analyst to oversee the cre",https://www.adzuna.com/land/ad/5137035643?se=JHPxU_gV8BGckdAhCbaCew&utm_medium=api&utm_source=35e20e56&v=F0D76A2FCD403698148CCBC74C0BBAAE712FB72E,75520.88,0,0,19
data analyst sr - contractor,System One,"Bloomfield, Allegheny County",109280.28,109280.28,,Position Tittle: Sr Data Analyst (150932-1) Duration : Contract to Hire Primary Location: Pittsburgh,https://www.adzuna.com/land/ad/5123920746?se=JHPxU_gV8BGckdAhCbaCew&utm_medium=api&utm_source=35e20e56&v=9CD29BCD3FD666F0FD589AD58F9A63616AB25850,109280.28,0,0,5
operations data analyst,Uline,"Pleasant Prairie, Kenosha County",88144.61,88144.61,,Operations Data Analyst The following information aims to provide potential candidates with a better,https://www.adzuna.com/land/ad/5128231636?se=JHPxU_gV8BGckdAhCbaCew&utm_medium=api&utm_source=35e20e56&v=7CF80C1B35E40C673DDBB4AB61DB31F06537809C,88144.61,0,0,29
senior data analyst,Robert Half,"New York City, New York",104000.0,156000.0,,Job Description Job Description We are offering a permanent employment opportunity for a Senior Data,https://www.adzuna.com/land/ad/5094854719?se=JHPxU_gV8BGckdAhCbaCew&utm_medium=api&utm_source=35e20e56&v=7A1D066104EBEDCE47AD0893D8443116A0FAD135,130000.0,1,0,25
data analyst iii,RTA US,"New York City, New York",86575.04,86575.04,,"Job Description Job Description Job Title: Data Analyst III Location: Onsite – New York, NY Duration",https://www.adzuna.com/land/ad/5119520023?se=JHPxU_gV8BGckdAhCbaCew&utm_medium=api&utm_source=35e20e56&v=1C9E049E3866C241357D80BB97FC3FA655EB1F35,86575.04,0,0,25
music data analyst,"Yoh, A Day & Zimmermann Company","New York City, New York",78489.16,78489.16,,Job Description Job Description Music Data Analyst needed for a contract opportunity with Yoh’s Ente,https://www.adzuna.com/land/ad/5124396605?se=JHPxU_gV8BGckdAhCbaCew&utm_medium=api&utm_source=35e20e56&v=8A21A2864E7F2AE23AB7D5F463E90C8E85111EA2,78489.16,0,0,25
customer master data analyst,AbbVie,"Austin, Travis County",89766.09,89766.09,full_time,Company Description AbbVie's mission is to discover and deliver innovative medicines and solutions t,https://www.adzuna.com/land/ad/5136809244?se=JHPxU_gV8BGckdAhCbaCew&utm_medium=api&utm_source=35e20e56&v=7A980FE68CD53DFF6411FE50D069B31498A0AA40,89766.09,0,0,3
(remote) healthcare data analyst,Volt,"Hooversville, Somerset County",53451.86,53451.86,,Innova Solutions is immediately hiring for a Healthcare Data Analyst Position type: Fulltime Contrac,https://www.adzuna.com/land/ad/5138169663?se=JHPxU_gV8BGckdAhCbaCew&utm_medium=api&utm_source=35e20e56&v=3106A848714E2B5AC9CFFCE993F63C67CB764691,53451.86,0,0,16
data analyst csar senior,Volt,"Thousand Oaks, Ventura County",70236.82,70236.82,,Innova Solutions has a client that is immediately hiring for a Data Analyst CSAR Senior Position typ,https://www.adzuna.com/land/ad/5128545241?se=JHPxU_gV8BGckdAhCbaCew&utm_medium=api&utm_source=35e20e56&v=5B2B5C0F17804640751463C66FE80E572033EA90,70236.82,1,0,37
nps data analyst (remote),Cella,"Atlanta, Fulton County",130749.34,130749.34,,"Location: Atlanta, GeorgiaJob Type: ContractCompensation Range: $40 - 50 per hourOur client in the T",https://www.adzuna.com/land/ad/5138305659?se=JHPxU_gV8BGckdAhCbaCew&utm_medium=api&utm_source=35e20e56&v=EEE2E1A9DFA9788E3055788E7AFFE1FD00F77F6D,130749.34,0,0,2
digital media data analyst,Gupta Media,"South Boston, Suffolk County",83161.27,83161.27,full_time,Gupta Media was founded 20 years ago on the idea that advertising could create huge leverage in our ,https://www.adzuna.com/land/ad/5057718090?se=JHPxU_gV8BGckdAhCbaCew&utm_medium=api&utm_source=35e20e56&v=AD4080537C77C2395844B4B46C645B68A539A94A,83161.27,0,0,33
senior data analyst,Nesco Resource,"Wilmington, New Castle County",65191.91,65191.91,,"Job Title: Senior Data Analyst (Hybrid - Wilmington, DE) Overview: We’re seeking a Senior Data Analy",https://www.adzuna.com/land/ad/5120830365?se=JHPxU_gV8BGckdAhCbaCew&utm_medium=api&utm_source=35e20e56&v=622C8B971059FFD788B07B2728B98972AFB061E1,65191.91,1,0,42
marketing data analyst,Mutual of Omaha Mortgage,"Irvine, Orange County",76452.2,76452.2,,Job Description Job Description Marketing Data Analyst Location: CA- Irvine Mutual of Omaha is a For,https://www.adzuna.com/land/ad/5128654985?se=JHPxU_gV8BGckdAhCbaCew&utm_medium=api&utm_source=35e20e56&v=92BFFCA85197AFD67D95350A70C6E806BC143164,76452.2,0,0,17
customer master data analyst,AbbVie,"North Chicago, Lake County",64000.0,122000.0,,Company Description AbbVie's mission is to discover and deliver innovative medicines and solutions t,https://www.adzuna.com/land/ad/5135490612?se=JHPxU_gV8BGckdAhCbaCew&utm_medium=api&utm_source=35e20e56&v=5E2C5F976588E38C0C70E5BB6834B3B7B5E2D802,93000.0,0,0,26
"staff data analyst, product",Vercel,"Highland Park, Dallas",117704.43,117704.43,full_time,"Vercel’s Frontend Cloud provides the developer experience and infrastructure to build, scale, and se",https://www.adzuna.com/land/ad/5101332990?se=JHPxU_gV8BGckdAhCbaCew&utm_medium=api&utm_source=35e20e56&v=F6888BA4CE2FA3918CE55A3B7EE2B56878C1ED6B,117704.43,0,0,15
"staff data analyst, product",Vercel,"Schiller Park, Cook County",114762.98,114762.98,full_time,"Vercel’s Frontend Cloud provides the developer experience and infrastructure to build, scale, and se",https://www.adzuna.com/land/ad/5101332534?se=JHPxU_gV8BGckdAhCbaCew&utm_medium=api&utm_source=35e20e56&v=773D29732D2C7D73472BE075EF940EE978D498F6,114762.98,0,0,32
"staff data analyst, product",Vercel,"Northlake, DeKalb County",114758.5,114758.5,full_time,"Vercel’s Frontend Cloud provides the developer experience and infrastructure to build, scale, and se",https://www.adzuna.com/land/ad/5101332538?se=JHPxU_gV8BGckdAhCbaCew&utm_medium=api&utm_source=35e20e56&v=A4894C25210BAD460D4EA8F0D574A9076216C4E5,114758.5,0,0,27
"staff data analyst, product",Vercel,"Washington, Washington, D.C.",119036.48,119036.48,full_time,"Vercel’s Frontend Cloud provides the developer experience and infrastructure to build, scale, and se",https://www.adzuna.com/land/ad/5101330478?se=JHPxU_gV8BGckdAhCbaCew&utm_medium=api&utm_source=35e20e56&v=4FAC0E01777BFDE98D441933F463BBC479EBAC53,119036.48,0,0,40
"staff data analyst, product",Vercel,US,127378.6,127378.6,full_time,"Vercel’s Frontend Cloud provides the developer experience and infrastructure to build, scale, and se",https://www.adzuna.com/land/ad/5101332019?se=JHPxU_gV8BGckdAhCbaCew&utm_medium=api&utm_source=35e20e56&v=E74178F4F7DDEF7D41D8F0AACFAA1E685800B6D1,127378.6,0,0,39
"staff data analyst, product",Vercel,"Trammells, Harris County",107644.75,107644.75,full_time,"Vercel’s Frontend Cloud provides the developer experience and infrastructure to build, scale, and se",https://www.adzuna.com/land/ad/5101330519?se=JHPxU_gV8BGckdAhCbaCew&utm_medium=api&utm_source=35e20e56&v=F2FC06E7E50EF809630B64CB95C050EB88E4C995,107644.75,0,0,38
